release_date,title,production_budget,domestic_gross,worldwide_gross,year,movie_id,genres,director_name,actor_name,release_month,season,movie_profit/loss,top_actor,high_profit
2004-04-09,The Alamo,92000000,22406362,23911362,2004,tt0249516,['Drama'],David Gordon Green,Nicolas Cage,April,Spring,-68088638,False,0
1997-04-25,Volcano,90000000,47546796,120100000,1997,tt1695831,['Drama'],Rúnar Rúnarsson,Þorsteinn Bachmann,April,Spring,30100000,False,1
1997-04-25,Volcano,90000000,47546796,120100000,1997,tt7186036,"['Comedy', 'Drama']",Roman Bondarchuk,Serhiy Stepansky,April,Spring,30100000,False,1
2011-08-19,Conan the Barbarian,90000000,21295021,63356133,2011,tt0816462,"['Action', 'Adventure', 'Fantasy']",Marcus Nispel,Jason Momoa,August,Summer,-26643867,False,0
2011-10-21,The Three Musketeers,90000000,20377913,139877913,2011,tt1509767,"['Action', 'Adventure', 'Romance']",Paul W.S. Anderson,Logan Lerman,October,Fall,49877913,False,1
2011-10-21,The Three Musketeers,90000000,20377913,139877913,2011,tt3274666,['Adventure'],Sergey Zhigunov,Rinal Mukhametov,October,Fall,49877913,False,1
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt10013288,['Drama'],Edwine Dorival,Nathanïel Berthil-Duval,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt4192918,['Comedy'],Daniel Beard,Bruce Royer,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt4532628,['Documentary'],Mohammad-Ali Talebi,Danial Khoshsima,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt5609150,['Documentary'],Zeljko Mirkovic,Nicolas Cage,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt6072400,['Thriller'],Bambang Drias,Nicolas Cage,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt6745888,['Action'],David Gordon Green,Nicolas Cage,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt6825024,"['Comedy', 'Drama', 'Romance']",Edwine Dorival,Cristiano Xavier Ramos,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt7232438,"['Drama', 'Horror', 'Thriller']",Sophon Sakdaphisit,Nicolas Cage,April,Spring,-79448583,False,0
2017-04-21,The Promise,90000000,8224288,10551417,2017,tt9889072,['Drama'],Edwine Dorival,Nathanïel Berthil-Duval,April,Spring,-79448583,False,0
2010-11-24,The Nutcracker in 3D,90000000,195459,20466016,2010,tt1041804,"['Action', 'Family', 'Fantasy']",Andrey Konchalovskiy,Richard Philipps,November,Fall,-69533984,False,0
2017-12-13,Bright,90000000,0,0,2017,tt5519340,"['Action', 'Crime', 'Fantasy']",David Ayer,Will Smith,December,Winter,-90000000,False,0
2003-09-26,The Rundown,85000000,47641743,80831893,2003,tt2963656,['Action'],Noah Scott,Brett Newton,September,Fall,-4168107,False,0
2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,85000000,43585753,113026383,2010,tt1287468,"['Action', 'Comedy', 'Family']",Brad Peyton,Chris O'Donnell,July,Summer,28026383,False,1
2002-03-15,Showtime,85000000,37948765,78948765,2002,tt1720297,"['Drama', 'Fantasy', 'Musical']",Stanley Kwan,Chao Deng,March,Spring,-6051235,False,0
2002-03-15,Showtime,85000000,37948765,78948765,2002,tt2097320,"['Documentary', 'Sport']",Ben Guest,Nicolas Cage,March,Spring,-6051235,False,0
1997-05-09,Father's Day,85000000,28681080,35681080,1997,tt10313204,['Action'],Quentin Lee,Russell Wong,May,Spring,-49318920,False,0
1997-05-09,Father's Day,85000000,28681080,35681080,1997,tt1727261,"['Action', 'Comedy', 'Horror']",Adam Brooks,Adam Brooks,May,Spring,-49318920,False,0
1997-05-09,Father's Day,85000000,28681080,35681080,1997,tt9465588,['Animation'],James Snider,Maria Petrano,May,Spring,-49318920,False,0
2013-07-19,RED 2,84000000,53262560,141507355,2013,tt1821694,"['Action', 'Comedy', 'Crime']",Dean Parisot,Bruce Willis,July,Summer,57507355,False,1
2020-02-21,Call of the Wild,82000000,0,0,2020,tt7504726,"['Adventure', 'Animation', 'Family']",Chris Sanders,Bradley Whitford,February,Winter,-82000000,False,0
1997-08-08,Conspiracy Theory,80000000,76118990,142783718,1997,tt5354458,"['Horror', 'Thriller']",Jake Myers,Ben Kobold,August,Summer,62783718,False,1
2019-06-07,The Secret Life of Pets 2,80000000,63795655,113351496,2019,tt5113040,"['Adventure', 'Animation', 'Comedy']",Jonathan del Val,Patton Oswalt,June,Summer,33351496,False,1
2001-06-08,Evolution,80000000,38311134,98341932,2001,tt4291590,"['Drama', 'Mystery', 'Sci-Fi']",Lucile Hadzihalilovic,Max Brebant,June,Summer,18341932,False,1
2006-04-14,The Wild,80000000,37384046,99010667,2006,tt10227282,['Documentary'],Mark Titus,Nicolas Cage,April,Spring,19010667,False,1
2015-10-23,The Last Witch Hunter,80000000,27367660,130818912,2015,tt1618442,"['Action', 'Adventure', 'Fantasy']",Breck Eisner,Vin Diesel,October,Fall,50818912,False,1
2014-02-21,Pompeii,80000000,23169033,108469033,2014,tt1921064,"['Action', 'Adventure', 'Drama']",Paul W.S. Anderson,Kit Harington,February,Winter,28469033,False,1
2009-12-18,Nine,80000000,19676965,53508858,2009,tt2179165,['Horror'],Darren Lynch,Darren Lynch,December,Winter,-26491142,False,0
2003-11-26,Timeline,80000000,19480739,26703184,2003,tt9379256,['Romance'],Tanakorn Bangpao,Sanachay Pattawan,November,Fall,-53296816,False,0
2016-02-12,The Little Prince,77500000,1311213,102028919,2016,tt10075374,['Action'],Zhang Lei,Yang Jun Yu,February,Winter,24528919,False,1
2016-02-12,The Little Prince,77500000,1311213,102028919,2016,tt1754656,"['Adventure', 'Animation', 'Drama']",Mark Osborne,Jeff Bridges,February,Winter,24528919,False,1
2016-02-12,The Little Prince,77500000,1311213,102028919,2016,tt5317732,['Documentary'],Nicky Maas,Nicolas Cage,February,Winter,24528919,False,1
1999-04-16,Life,75000000,64062587,73521587,1999,tt1869538,['Documentary'],Patrick Epape,Nicolas Cage,April,Spring,-1478413,False,0
1999-04-16,Life,75000000,64062587,73521587,1999,tt2948840,"['Biography', 'Drama']",Anton Corbijn,Robert Pattinson,April,Spring,-1478413,False,0
1999-04-16,Life,75000000,64062587,73521587,1999,tt4105212,['Drama'],Garnet Mae,Nicolas Cage,April,Spring,-1478413,False,0
1999-04-16,Life,75000000,64062587,73521587,1999,tt5442430,"['Horror', 'Sci-Fi', 'Thriller']",Daniel Espinosa,Jake Gyllenhaal,April,Spring,-1478413,False,0
1999-04-16,Life,75000000,64062587,73521587,1999,tt6080038,['Comedy'],K. Cameron Lau,K. Cameron Lau,April,Spring,-1478413,False,0
2010-06-04,Killers,75000000,47059963,95572749,2010,tt1103153,"['Action', 'Comedy', 'Romance']",Robert Luketic,Ashton Kutcher,June,Summer,20572749,False,1
2001-10-12,Bandits,75000000,41523271,71523271,2001,tt8327616,['Drama'],Muyiwa Aluko,Stanley Chibunna,October,Fall,-3476729,False,0
2011-03-25,Sucker Punch,75000000,36392502,89758389,2011,tt0978764,"['Action', 'Adventure', 'Fantasy']",Zack Snyder,Nicolas Cage,March,Spring,14758389,False,1
2005-03-11,Hostage,75000000,34636443,77636443,2005,tt1772292,['Thriller'],Tony Glazer,David Zayas,March,Spring,2636443,False,1
